ID,Aadhaar,FirstName,LastName,MotherName,FatherName,Sex,Birthday,Age,District ID,Phone,Voter ID,Def_Password
16,8199 8865 9927,Celina,Dias,Eva,Thomas,F,29-10-1993,32,235,"9356542209 , 9229628212",DAK821391,DAK@9927
17,5307 8510 8732,Binita,Soni,Anjali,Aniket,F,01-09-1984,41,234,"9472486996 , 9527016485",CDK501221,CDK@8738
18,5039 9340 8931,Aasim,Moulvi,Jasbir,Rahul,M,08-04-1993,32,235,"9995661892 , 9841329902",LFP359677,LFP@8931
19,4413 5402 5058,Vinit,Rajput,Sneha,Randhir,M,16-06-1962,63,234,"9254284523 , 9170192205",LDK886759,LDK@5058
20,5308 9629 6615,Neha,Bhatt,Tanushree,Arun,F,28-09-2002,23,235,"9358443022 , 9736103229",OAD930875,OKD@6615
21,8392 3921 0192,Aditi,Kharat,Simran,Jitendra,F,28-01-2000,26,234,"9821009201 , 9303596697",UDS092346,UDJ@0192
22,3591 4628 3662,Akash,Bhavesh,Indira,Singh,F,16-08-1972,53,234,"9623412913 , 9862280999",AWC659752,ABC@3661
23,5771 7940 7366,Dipti,Dheeraj,Juhi,Kumar,M,07-03-1964,61,235,"9222325956 , 9234010331",JGD563931,JID@7361
24,7820 3424 4038,Shlok,Girish,Latika,Agarwal,M,14-03-1986,39,234,"9722768470 , 9879630940",KOQ752742,KOF@4032
25,6169 5020 5641,Rashid,Abhay,Anushree,Khan,F,14-08-1976,49,235,"9414321457 , 9747286739",KFL505613,KFL@5646
26,7367 4166 6810,Nicole,Deepak,Mallika,Dias,F,14-12-1964,61,234,"9913542379 , 9525504465",OKF618372,OKF@6819
27,5698 6325 9187,Muskan,Harmeet,Namrata,Gupta,F,09-11-1974,51,235,"9406269045 , 9277475895",8RPK191651,LPK@9180
28,3552 9455 9830,Saima,Bipin,Niharika,Shaikh,M,21-05-1986,39,234,"9251125952 , 9910885497",JIJ126652,JIJ@9837
29,4616 8141 3774,Mayur,Mahendra,Arpita,Chauhan,M,18-07-1985,40,235,"9445560413 , 9668871603",PLD9O0401,PLD@8779
30,5629 4547 8260,Aniket,Aditya,Pallavi,Mali,F,28-11-1969,56,234,"9353628848 , 9175176908",KPK247360,KPF@8365
31,9159 9075 6077,Priti,Rakesh,Rashmi,Krishna,F,05-03-2000,25,235,"9357732303 , 9158939331",KLP6L2421,KLP@6871
32,9991 7085 3995,Bhavna,Mehul,Saloni,Wadhwani,F,06-10-1967,58,234,"9600223943 , 9679375394",OPF192549,OKF@3998
33,3901 9051 4118,Shrishti,Mukesh,Priyanka,Shetty,M,30-04-1956,69,235,"9661640359 , 9523233324",PXS3P0426,PXS@4111
34,6219 8659 3520,Harsh,Akshat,Eva,Chougle,M,28-02-1967,58,234,"9978862736 , 9528643854",DKQS350620,DKS@3520
35,8683 3592 5074,Rehmat,Nitish,Anjali,Khan,M,20-08-1993,32,235,"9673536403 , 9357442008",DKLM595147,DKM@5076
36,6179 3483 8164,Joey,Prakash,Jasbir,Dsouza,F,13-06-1984,41,234,"9533089508 , 9137520712",ULD596266,UHD@8163
37,8199 8865 9924,Celina,Thomas,Sneha,Dias,F,16-09-1971,54,235,"9356542209 , 9229628212",DKK821391,DAK@9929
38,5307 8510 8733,Binita,Thomas,Tanushree,Soni,M,05-03-1955,70,234,"9472486996 , 9527016485",CDK501224,CDK@8732
39,5039 9340 8935,Aasim,Rahul,Simran,Moulvi,M,23-04-1995,30,235,"9995661892 , 9841329902",LFM360677,LFP@8938
40,4413 5402 5051,Vinit,Randhir,Aishwarya,Rajput,F,21-08-1963,62,234,"9254284523 , 9170192205",LDO826759,LDK@5051
41,5308 9629 6611,Neha,Arun,Gayatri,Bhatt,F,21-05-1980,45,235,"9358443022 , 9736103229",ODD930475,OKD@6612
42,8392 3921 0191,Aditi,Jitendra,Aparna,Kharat,F,07-05-1996,29,234,"9821009201 , 9303596697",JIJ9026650,UDJ@0190
43,6559 9399 2384,Umang,Virk,Bhamini,Anya,M,28-12-1997,28,234,"9769295615 , 9126320339",JOD254501,JOD@2384
44,5198 4241 5109,Ishaan,Mangat,Yuvraj ,Shray,F,06-11-1995,30,235,"9459995589 , 9216061805",LHW577203,LHW@5109
45,9521 9675 2650,Advik,Sachdev,Damini,Vanya,F,09-01-1986,40,235,"9502990015 , 9114587326",YKT468188,YKT@2650
46,3730 3504 7134,Prerak,Agate,Kavya,Indranil,M,21-12-1974,51,234,"9989760657 , 9756264695",NVT730505,NVT@7134
47,2528 4545 3047,Dishani,Buch,Vivaan,Vaibhav,F,29-04-1977,48,234,"9010617845 , 9050207725",QDU377145,QDU@3047
48,5166 4996 2734,Tanya,Gour,Anay,Ehsaan,F,12-10-1972,53,235,"9447772388 , 9563955225",YKX441141,YKX@2734
49,8211 1238 4144,Renee,Mangal,Ivan,Jiya,M,25-10-1994,31,235,"9821368371 , 9308882427",NOW168722,NOW@4144
50,4692 9866 8836,Shaan,Thakur,Rati,Onkar,M,28-05-1992,33,235,"9665816791 , 9620538618",CDJ292024,CDJ@8836
51,9998 9885 9787,Vivaan,Koshy,Emir,Indranil,M,01-07-1985,40,234,"9534370646 , 9622667424",NAZ804191,NAZ@9787
52,7703 5467 5287,Prerak,Chaudhry,Samar,Kanav,M,08-09-1955,70,234,"9830778736 , 9451342233",RQM281099,RQM@5287
53,1876 2895 6042,Jivin,Ganguly,Shayak,Heer,F,16-03-1986,39,234,"9652014599 , 9221697285",HNR542202,HNR@6042
54,7773 9098 8586,Indrajit,Hari,Zeeshan,Kavya,F,21-01-1962,64,235,"9777969591 , 9760091580",VQZ306893,VQZ@8586
55,5009 4344 8382,Zara,Bala,Kartik,Ira,F,06-08-1981,44,234,"9559439725 , 9537703593",URB727281,URB@8382
56,8054 2856 7057,Hunar,Lad,Pari,Hrishita,M,20-01-1960,66,234,"9978440812 , 9121189593",MNI279837,MNI@7057
57,3484 5062 8956,Yuvraj ,Edwin,Ela,Akarsh,F,20-04-2001,24,235,"9609323489 , 9500934750",IJU732180,IJU@8956
58,7176 4792 7012,Suhana,Barman,Amani,Priyansh,F,14-12-1994,31,235,"9078594804 , 9995343665",QEJ378124,QEJ@7012
59,3364 6175 6773,Sumer,Kakar,Lavanya,Anika,F,05-11-1955,70,235,"9067502237 , 9385885788",DLW430656,DLW@6773
60,9618 4086 3620,Khushi,Dutta,Tushar,Kimaya,F,25-09-1993,32,234,"9892847261 , 9383548686",FST208520,FST@3620
61,3611 1052 8344,Baiju,Agate,Vaibhav,Oorja,F,23-04-1976,49,235,"9820268660 , 9847078881",FHB274864,FHB@8344
62,3364 1632 6901,Suhana,Varughese,Uthkarsh,Priyansh,M,15-07-1969,56,235,"9299273348 , 9210398682",UJR203907,UJR@6901
63,1353 3141 5515,Manikya,Walla,Mohanlal,Jhanvi,F,29-09-1969,56,234,"9392058838 , 9886149929",GXI929592,GXI@5515
64,8259 1047 7043,Vardaniya,Rau,Yashvi,Ishita,M,14-10-2001,24,234,"9474326757 , 9291038693",QFY136281,QFY@7043
65,3581 5916 8624,Hunar,Jaggi,Inaaya ,Madhav,F,06-09-1962,63,235,"9103016192 , 9473126101",ZJF138330,ZJF@8624
66,6739 6125 9730,Faiyaz,Rajan,Madhup,Drishya,F,07-11-1983,42,234,"9104762947 , 9592775206",CQD317691,CQD@9730
67,5903 7256 4535,Renee,Chaudhari,Yasmin,Farhan,F,22-01-1969,57,235,"9831328228 , 9837729678",RTW771407,RTW@4535
68,2676 1723 4429,Anaya,Srivastava,Tiya,Aaina,M,04-11-1957,68,235,"9200744223 , 9162172694",FRE819541,FRE@4429
69,2275 4613 3453,Zain,Singh,Faiyaz,Raunak,F,21-10-1990,35,235,"9990268483 , 9697669030",PNC748287,PNC@3453
70,6112 8891 7889,Lavanya,Sant,Devansh,Yakshit,F,10-03-1968,57,235,"9951770806 , 9719442897",DMP892616,DMP@7889
71,6028 2523 5220,Amira,Khatri,Indrajit,Reyansh,F,10-07-1982,43,234,"9639135550 , 9929301030",ADM561455,ADM@5220
72,8947 1772 4989,Advika,Mangat,Anahita,Navya,M,10-07-1988,37,234,"9994147020 , 9454327529",IIN690927,IIN@4989
73,7996 5334 1833,Aradhya,Buch,Neelofar,Yuvraj ,F,17-09-1986,39,235,"9316921638 , 9697825360",SCW271829,SCW@1833
74,1069 1688 1898,Ahana ,Sur,Baiju,Ehsaan,F,11-02-2002,24,235,"9851122240 , 9663016133",ZPJ653890,ZPJ@1898
75,1993 1472 2698,Sahil,Taneja,Samarth,Amani,M,08-01-1998,28,234,"9273374075 , 9845838730",YTW380473,YTW@2698
76,6286 2869 7877,Mishti,Chandra,Yuvraj ,Nirvi,M,29-03-2004,21,234,"9652356831 , 9706917605",HNF268263,HNF@7877
77,9979 3991 1010,Lavanya,Tak,Tejas,Anay,F,30-06-1968,57,234,"9104387910 , 9995752757",JUG806773,JUG@1010
78,3949 6542 4662,Badal,Deep,Madhup,Himmat,M,22-05-2000,25,234,"9149163253 , 9134625991",ZIZ255778,ZIZ@4662
79,5013 4494 3226,Oorja,Desai,Miraya,Urvi,F,02-04-1971,54,234,"9924144342 , 9519276070",WJM509133,WJM@3226
80,5517 8765 9424,Romil,Chaudhuri,Anvi,Faiyaz,F,17-04-1958,67,234,"9702708779 , 9473524677",OSK760031,OSK@9424
81,8401 6725 7510,Ivana,Shenoy,Nirvi,Anaya,F,19-12-2001,24,234,"9726901355 , 9603698792",PVV652741,PVV@7510
82,5436 7656 6880,Akarsh,Kohli,Dhanush,Mannat,F,08-04-1970,55,235,"9350167094 , 9066118520",SOT150515,SOT@6880
83,9775 6135 3104,Mohanlal,Gour,Yakshit,Kabir,F,02-03-1976,49,234,"9944991043 , 9770616629",FBA713365,FBA@3104
84,3381 5331 6501,Arhaan,Tandon,Romil,Aniruddh,F,27-08-1997,28,234,"9392621570 , 9498262354",HFO280142,HFO@6501
85,9919 1748 1773,Neysa,Gade,Ranbir,Damini,M,03-08-1976,49,235,"9804796594 , 9629714881",DNX374948,DNX@1773
86,7337 1732 5717,Siya,Shere,Indrans,Mannat,F,02-10-2004,21,234,"9354421188 , 9573290185",AJH237958,AJH@5717
87,8568 3790 1335,Adira,Garde,Krish,Shayak,F,11-10-1961,64,235,"9166861679 , 9109328500",ISY320619,ISY@1335
88,5325 5191 9446,Vaibhav,Ganesan,Faiyaz,Mannat,M,06-11-1956,69,235,"9834047086 , 9196013409",TGP748909,TGP@9446
89,4884 3774 2456,Riaan,Gopal,Zoya,Vardaniya,M,03-08-1978,47,234,"9906116917 , 9018799447",BXV529845,BXV@2456
90,9880 1320 1014,Jayan,Sama,Tanya,Faiyaz,F,09-04-2001,24,234,"9613915375 , 9549765828",RIZ258279,RIZ@1014
91,1825 7378 7969,Chirag,Walla,Aniruddh,Divij,F,25-03-1984,41,234,"9806168542 , 9256116370",UWP307111,UWP@7969
92,5905 4712 4940,Adira,Randhawa,Piya,Jayant,F,18-02-1970,56,234,"9895619816 , 9494837040",EOC918691,EOC@4940
